company_name,phone,full_address,address_line1,city,state,zip,county,license_number,license_status,license_expiration,contact_name,website,has_website,website_lookup,source,verified_date
PLUMBER BOY OF TX,(254) 238-1174,"1610 S 31 STREET  STE 102-625, TEMPLE, TX 76504",1610 S 31 STREET  STE 102-625,TEMPLE,TX,76504,BELL,44049,Current,04/30/2027,BILLYJOE BAECHLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
A2Z ATOMIC PLUMBING INC,(214) 727-4040,"1175 SKYLAR DR., ROCKWALL, TX 75032",1175 SKYLAR DR.,ROCKWALL,TX,75032,ROCKWALL,36843,Current,09/30/2026,CASEY MITCHELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SITE MECHANICAL LLC,(817) 808-4174,"341 PALO ALTO DRIVE, SPRINGTOWN, TX 76082",341 PALO ALTO DRIVE,SPRINGTOWN,TX,76082,PARKER,23052,Current,02/28/2027,CHRISTOPHER ALBAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
J & M PLUMBING INC,(713) 875-7956,"PO  BOX  1986, LEAGUE CITY, TX 77574",PO  BOX  1986,LEAGUE CITY,TX,77574,GALVESTON,22171,Current,09/30/2026,MICHAEL LUNA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
GENE FORD PLUMBING INC,(903) 465-0888,"728 W. SHEPHERD, DENISON, TX 75020-5018",728 W. SHEPHERD,DENISON,TX,75020-5018,GRAYSON,18940,Current,02/28/2027,MARK FOLTERMANN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
AQUA FLOW PLUMBING,(903) 880-8090,"P O BOX 2073, MABANK, TX 75147",P O BOX 2073,MABANK,TX,75147,KAUFMAN,15226,Current,09/30/2026,WILLIAM MITCHELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
PRO STAR PLUMBING,(214) 364-8881,"512  N 5TH ST, QUINLAN, TX 75474",512  N 5TH ST,QUINLAN,TX,75474,HUNT,9083,Current,02/28/2027,CARL MILLIGAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
THOMSON'S PLUMBING LLC,(903) 882-7549,"16803 INTERSTATE 20 WEST, LINDALE, TX 75771",16803 INTERSTATE 20 WEST,LINDALE,TX,75771,SMITH,11061,Current,10/31/2026,ROBERT THOMSON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
GOOD FLOW PLUMBING & CONSTRUCTION,(432) 934-2497,"P O BOX 50976, MIDLAND, TX 79710-0976",P O BOX 50976,MIDLAND,TX,79710-0976,MIDLAND,37416,Current,02/28/2027,FELIX MARTINEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
WILFORD FORSGREN PLUMBING,(940) 733-1387,"4600 MIMOSA LANE, WICHITA FALLS, TX 76310",4600 MIMOSA LANE,WICHITA FALLS,TX,76310,WICHITA,9625,Current,07/31/2026,WILFORD FORSGREN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
CT TEXAS PLUMBING LLC,(210) 849-8638,"401 MAPLE DR, SCHERTZ, TX 78154",401 MAPLE DR,SCHERTZ,TX,78154,GUADALUPE,39094,Current,03/31/2027,CHARLES TURNBULL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
RSW PLUMBING & CONSTRUCTION LLC,(806) 382-4123,"21974 FM 1062, CANYON, TX 79015",21974 FM 1062,CANYON,TX,79015,RANDALL,39577,Current,09/30/2026,RICHARD WILLIAMS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
AM PM PLUMBING,(956) 425-0006,"28491 RANGERVILLE RD, HARLINGEN, TX 78552",28491 RANGERVILLE RD,HARLINGEN,TX,78552,CAMERON,38483,Current,05/31/2027,CLEMENTE QUINTANILLA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SHREINER HOME COMFORT LLC DBA 1800 PLMBR OF THE TX PANHANDLE,(806) 622-3862,"513  ROSS, AMARILLO, TX 79102",513  ROSS,AMARILLO,TX,79102,POTTER,38075,Current,03/31/2027,JASEN SHREINER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ARGYLE MECHANICAL SERVICES DBA SERVICEPROZ,(903) 237-8281,"PO BOX 608, GLADEWATER, TX 75647",PO BOX 608,GLADEWATER,TX,75647,GREGG,39069,Current,02/28/2027,NATHAN WHITE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SAN TEX PLUMBING,(817) 770-6711,"168 HAPPY TRAIL, RHOME, TX 76078",168 HAPPY TRAIL,RHOME,TX,76078,WISE,37217,Current,03/31/2027,TONY ATKINS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
JAY HARKINS CO DBA HARKINS CO,(512) 281-5577,"618  HWY 95 N, ELGIN, TX 78621",618  HWY 95 N,ELGIN,TX,78621,BASTROP,39024,Current,07/31/2026,JOHN HARKINS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SUPERIOR PLUMBING INC,(432) 550-0123,"P.O.BOX 12183, ODESSA, TX 79768",P.O.BOX 12183,ODESSA,TX,79768,ECTOR,37455,Current,07/31/2027,BILLY GREATHOUSE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
AGGIES PLUMBING,(409) 960-2543,"2518  GLENWOOD DR., PORT ARTHUR, TX 77642",2518  GLENWOOD DR.,PORT ARTHUR,TX,77642,JEFFERSON,38865,Current,02/28/2027,AGUSTIN IZAGUIRRE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
QUALITY PLUMBING & SERVICE INC,(956) 725-2335,"2604 FREMONT ST., LAREDO, TX 78043",2604 FREMONT ST.,LAREDO,TX,78043,WEBB,37266,Current,02/28/2027,MANUEL SANTOS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SIERRA PLUMBING,(325) 655-6747,"704 EAST 16TH STREET, SAN ANGELO,TEXAS, SAN ANGELO, TX 76903",704 EAST 16TH STREET,SAN ANGELO,TX,76903,TOM GREEN,20679,Current,02/28/2027,WILLIE FLORES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
4T CONSTRUCTION,(512) 748-9250,"100 CR 200D, BURNET, TX 78611",100 CR 200D,BURNET,TX,78611,BURNET,37286,Current,02/28/2027,FREDDY PARK,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
J H PLUMBING LLC,(210) 274-6497,"106 RUSTY LANE, BOERNE, TX 78006",106 RUSTY LANE,BOERNE,TX,78006,KENDALL,39412,Current,04/30/2027,JAMES HOEVER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
R & S PLUMBING,(903) 873-4673,"899 VZCR 3406, WILLS POINT, TX 75169",899 VZCR 3406,WILLS POINT,TX,75169,VAN ZANDT,20554,Current,07/31/2026,GREGORY SMITH,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
EAST TEXAS PLUMBING CO,(903) 675-9319,"P O BOX 2082, ATHENS, TX 75751",P O BOX 2082,ATHENS,TX,75751,HENDERSON,36970,Current,09/30/2026,DERRELL STRANGE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
VCSV LLC DBA VIC'S PLUMBING,(361) 676-2935,"4303 N VINE ST., VICTORIA, TX 77901",4303 N VINE ST.,VICTORIA,TX,77901,VICTORIA,38597,Current,11/30/2026,VICTOR NUNEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SA'S BEST PLUMBING,(210) 421-7756,"161 COUNTY ROAD 277, MICO, TX 78056",161 COUNTY ROAD 277,MICO,TX,78056,MEDINA,36967,Current,11/30/2026,RUSSELL GARDINER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
7M PLUMBING LLC,(325) 725-4105,"P O BOX 4059, ABILENE, TX 79608",P O BOX 4059,ABILENE,TX,79608,TAYLOR,40425,Current,02/28/2027,MICHAEL MILLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
RAD PLUMBING LLC,(940) 600-7496,"2136 COUNTY RD 4101, NEW BOSTON, TX 75570",2136 COUNTY RD 4101,NEW BOSTON,TX,75570,BOWIE,38778,Current,07/31/2027,RODNEY DEAL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ESPERANZA VENTURES CORP DBA HOLLOWAY PLUMBING,(830) 377-9001,"421 SCHREINER ST, C/O HOLLOWAY PLUMBING, KERRVILLE, TX 78028",421 SCHREINER ST,KERRVILLE,TX,78028,KERR,42237,Current,11/30/2026,DAMON LEWIS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
DOUBLE L PLUMBING,(817) 279-9303,"315 SMART STRIKE CT, GRANBURY, TX 76049",315 SMART STRIKE CT,GRANBURY,TX,76049,HOOD,39534,Current,10/31/2026,CHRISTOPHER LESTER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ROUP PLUMBING LLC,(469) 826-3315,"11602 REEDER ROAD, DALLAS, TX 75229",11602 REEDER ROAD,DALLAS,TX,75229,,45970,Current,08/31/2026,SHAUN ROUP,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
MIKE CAMPOS PLUMBING SERVICES,(210) 421-7362,"504 BLARNEY RD, FLORESVILLE, TX 78114-6590",504 BLARNEY RD,FLORESVILLE,TX,78114-6590,WILSON,39224,Current,10/31/2026,MIGUEL CAMPOS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
RONS PLUMBING LLC,(903) 438-6328,"P. O. BOX 248, SULPHUR SPRINGS, TX 75483",P. O. BOX 248,SULPHUR SPRINGS,TX,75483,HOPKINS,20658,Current,10/31/2026,RONALD SIMMONS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
BYNARD MALONE PLUMBING LLC,(903) 739-8580,"155 32ND STREET NE, PARIS, TX 75460",155 32ND STREET NE,PARIS,TX,75460,LAMAR,36999,Current,08/31/2026,BYNARD MALONE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
TASK COMMERCIAL PLUMBING,(281) 682-8953,"P O BOX 81, SHIRO, TX 77876",P O BOX 81,SHIRO,TX,77876,GRIMES,21118,Current,04/30/2027,DANIEL MCELROY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
AMERICAN CLASSIC PLUMBING INC,(806) 702-0701,"PO BOX 449, KINGSLAND, TX 78639",PO BOX 449,KINGSLAND,TX,78639,LLANO,43607,Current,02/28/2027,MICHAEL DAVIS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
FREE FLOW PLUMBING LLC,(936) 232-0433,"5010 FM 2693 RD W, NEW WAVERLY, TX 77358",5010 FM 2693 RD W,NEW WAVERLY,TX,77358,WALKER,40062,Current,06/30/2026,MICHAEL MACALUSO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
BAR-B PLUMBING CO INC,(254) 547-2493,"PO BOX 129, KEMPNER, TX 76539",PO BOX 129,KEMPNER,TX,76539,LAMPASAS,18915,Current,02/28/2027,EDWARD BARBEE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
EAST TEXAS LRL ENTERPRISES INC DBA LOGGINS PLUMBING,(936) 639-3073,"101 INDUSTRIAL BLVD, SUITE 109, LUFKIN, TX 75904",101 INDUSTRIAL BLVD,LUFKIN,TX,75904,ANGELINA,14413,Current,08/31/2026,LEONARD LOGGINS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
"ROBERT RUSSELL PLUMBING, INC.",(940) 759-4155,"P. O. BOX 394, MUENSTER, TX 76252",P. O. BOX 394,MUENSTER,TX,76252,COOKE,8728,Current,05/31/2027,ROBERT RUSSELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
INNERLINE PLUMBING,(817) 851-6826,"PO BOX 132, RICHLAND, TX 76681",PO BOX 132,RICHLAND,TX,76681,NAVARRO,17632,Current,02/28/2027,RICHARD WOOLHEATER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
MEYER PLUMBING & CONSTRUCTION LLC,(979) 277-5908,"7679 WOLFF ROAD, BURTON, TX 77835",7679 WOLFF ROAD,BURTON,TX,77835,WASHINGTON,15104,Current,02/28/2027,BOBBY MEYER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
NORTH TEXAS PRECISE PLUMBING LLC,(972) 762-7347,"542  PRIVATE ROAD 76, LEONARD, TX 75452",542  PRIVATE ROAD 76,LEONARD,TX,75452,FANNIN,39976,Current,11/30/2026,JOHN COOK,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
GREENWAVE PLUMBING INC,(512) 750-1808,"2233 BORCHERT LOOP, LOCKHART, TX 78644",2233 BORCHERT LOOP,LOCKHART,TX,78644,CALDWELL,21542,Current,06/30/2026,MICHAEL THIGPEN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
DAVID HERBORT PLUMBING AND GENERAL SERVICES LLC,(830) 990-0996,"1800 CENTER POINT RD., FREDERICKSBURG, TX 78624-8119",1800 CENTER POINT RD.,FREDERICKSBURG,TX,78624-8119,GILLESPIE,37094,Current,05/31/2027,DAVID HERBORT,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
HINOTE PLUMBING INC,(409) 882-4140,"18702 HWY 62S, ORANGE, TX 77630",18702 HWY 62S,ORANGE,TX,77630,ORANGE,13301,Current,10/31/2026,JOHN HINOTE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
"MSC EARTHWORK, LLC",(210) 219-2714,"P.O. BOX 364, CARMINE, TX 78932",P.O. BOX 364,CARMINE,TX,78932,FAYETTE,8082,Current,10/31/2026,JEFFREY MYERS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ATTABOY PLUMBING CO,(903) 738-4000,"P.O. BOX 414, DIANA, TX 75640",P.O. BOX 414,DIANA,TX,75640,UPSHUR,18345,Current,04/30/2027,BILLY GEERS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
KPK PLUMBING LLC,(940) 255-8479,"1502 NORTH MASON STREET, BOWIE, TX 76230",1502 NORTH MASON STREET,BOWIE,TX,76230,MONTAGUE,38914,Current,05/31/2027,SAMMIE POE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
BUDDY P PLUMBING LLC,(281) 934-8161,"P. O. BOX 583, BROOKSHIRE, TX 77423",P. O. BOX 583,BROOKSHIRE,TX,77423,WALLER,14763,Current,05/31/2027,ERNEST PETEREK,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
FORD PLUMBING & SEPTIC,(903) 342-7774,"1311 CR 4778, WINNSBORO, TX 75494",1311 CR 4778,WINNSBORO,TX,75494,WOOD,18852,Current,02/28/2027,KEVIN FORD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
R-1 PLUMBING LLC,(832) 646-5664,"387 CR 4891, DAYTON, TX 77535",387 CR 4891,DAYTON,TX,77535,LIBERTY,40450,Current,03/31/2027,RENE TORRES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
"HARDIN COUNTY PLUMBING SERVICES, LLC.",(409) 246-4740,"P. O. BOX 1986, KOUNTZE, TX 77625",P. O. BOX 1986,KOUNTZE,TX,77625,HARDIN,13512,Current,11/30/2026,VERNON DEAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
MARBACH PLUMBING COMPANY INC,(361) 729-9155,"411 W. MARKET ST., ROCKPORT, TX 78382",411 W. MARKET ST.,ROCKPORT,TX,78382,ARANSAS,17600,Current,08/31/2026,DENNIS MARBACH,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
LARSON PLUMBING & UTILITY CO,(381) 887-6234,"P.O. BOX 158, ODEM, TX 78370",P.O. BOX 158,ODEM,TX,78370,SAN PATRICIO,18518,Current,05/31/2027,RANDY LARSON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
BARKER PLUMBING,(254) 582-9879,"P. O. BOX 324, HILLSBORO, TX 76645",P. O. BOX 324,HILLSBORO,TX,76645,HILL,10331,Current,06/30/2026,LARRY BARKER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ROBBIE ROB'S PLUMBING,(214) 770-3860,"353 OLD MILL LN, POINT, TX 75472",353 OLD MILL LN,POINT,TX,75472,RAINS,39544,Current,05/31/2027,ROBERT TREVINO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SHANNON WALLACE PLUMBING LLC,(936) 615-5811,"3871 FM 1275, NACOGDOCHES, TX 75961",3871 FM 1275,NACOGDOCHES,TX,75961,NACOGDOCHES,36755,Current,07/31/2026,SHANNON WALLACE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ACE PLUMBINGADRIANA & MARTIN GUTIERREZ ENTERPRISES INC,(512) 446-5152,"1303  BRAZOS AVE, ROCKDALE, TX 76567",1303  BRAZOS AVE,ROCKDALE,TX,76567,MILAM,36525,Current,08/31/2026,MARTIN GUTIERREZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
TEXAS HILL COUNTRY PLUMBING LLC,(830) 444-5195,"3610 ENGLISH CROSSING ROAD, BANDERA, TX 78003",3610 ENGLISH CROSSING ROAD,BANDERA,TX,78003,BANDERA,37623,Current,02/28/2027,JAMES MCGILBERY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
PRO MECHANICAL OF TEXAS/DBA-SHEETZ PRO MECHANICAL,(254) 965-3000,"300 WEST LINGLEVILLE RD,SUITE 102, STEPHENVILLE, TX 76401","300 WEST LINGLEVILLE RD,SUITE 102",STEPHENVILLE,TX,76401,ERATH,15702,Current,09/30/2026,STEVEN SHEETZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
DAN'S ALL AMERICAN PLUMBING LLC,(409) 423-5773,"P.O. BOX 517, KIRBYVILLE, TX 75956",P.O. BOX 517,KIRBYVILLE,TX,75956,JASPER,17203,Current,08/31/2026,DANNY PETERS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
SON-SHINE PLUMBING,(361) 827-8042,"P O BOX 281, LOUISE, TX 77455",P O BOX 281,LOUISE,TX,77455,WHARTON,14376,Current,06/30/2026,ROBERT GARCIA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
COWBOY PLUMBING,(903) 261-6762,"514 S FLOREY AVE, MT PLEASANT, TX 75455",514 S FLOREY AVE,MT PLEASANT,TX,75455,TITUS,10530,Current,07/31/2026,JUAN GALINDO,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
CLOPTON'S LAND HOME IMPROVEMENTS LLC,(979) 716-4646,"PO BOX 612 P.O. BOX 612, LEXINGTON, TX 78947",PO BOX 612 P.O. BOX 612,LEXINGTON,TX,78947,LEE,37823,Current,04/30/2027,AARON CLOPTON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
ETZLER PLUMBING & ELECTRIC INC,(361) 798-5086,"519 CR 166, HALLETTSVILLE, TX 77964",519 CR 166,HALLETTSVILLE,TX,77964,LAVACA,38254,Current,08/31/2026,WILBERT ETZLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
TOBYAH ENTERPRISES INC DBA T&T PLUMBING,(325) 721-4723,"10132 PR 2589, CLYDE, TX 79510",10132 PR 2589,CLYDE,TX,79510,CALLAHAN,37796,Current,05/31/2027,TOVIA GRYNEWICZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
MANUEL ESTRADA PLUMBING,(830) 968-0493,"2327 EDNA DR, EAGLE PASS, TX 78852",2327 EDNA DR,EAGLE PASS,TX,78852,MAVERICK,7962,Current,06/30/2026,MANUEL ESTRADA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
HORNE PIPE & SUPPLY INC DBA CHAMBERS PLUMBING,(325) 642-7486,"3005 AVENUE D, BROWNWOOD, TX 76801",3005 AVENUE D,BROWNWOOD,TX,76801,BROWN,20061,Current,04/30/2027,KEVIN CHAMBERS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
VICTOR'S PLUMBING LLC,(806) 346-4407,"229  SOUTH MAIN, HEREFORD, TX 79045",229  SOUTH MAIN,HEREFORD,TX,79045,DEAF SMITH,36988,Current,08/31/2026,ROBERT ESTRADA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
T'S PLUMBING CO,(432) 386-3291,"P O BOX 1415, ALPINE, TX 79830",P O BOX 1415,ALPINE,TX,79830,BREWSTER,39673,Current,02/28/2027,TREVER WARREN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
"ED DAVILA PLUMBING, LLC",(979) 725-6298,"1035 SEDAN ROAD, WEIMAR, TX 78962",1035 SEDAN ROAD,WEIMAR,TX,78962,COLORADO,17070,Current,10/31/2026,EDWARD DAVILA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
WHITMORE'S PLUMBING SERVICE INC,(432) 263-2302,"408 EAST 11TH STREET, BIG SPRING, TX 79720",408 EAST 11TH STREET,BIG SPRING,TX,79720,HOWARD,18910,Current,10/31/2026,DERRICK WHITMORE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
1ST CLASSIC PLUMBING LLC,(817) 578-5328,"258 COUNTY RD 1140, KOPPERL, TX 76652",258 COUNTY RD 1140,KOPPERL,TX,76652,BOSQUE,36905,Current,05/31/2027,JEFF MITCHELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10
