company_name,phone,full_address,address_line1,city,state,zip,county,license_number,license_status,license_expiration,contact_name,website,has_website,website_lookup,source,verified_date,phone_valid,phone_e164,phone_national,phone_line_type,phone_region,phone_area_code,phone_flags,phone_validation_status,google_name,google_address,google_phone,google_website,google_maps_url,crossref_status,crossref_confidence,crossref_notes,recommended_phone,recommended_address,phone_match,city_match,address_match
AG PLUMBING,(956) 499-1943,"1507 GUADALUPE ST, WESLACO, TX 78596",1507 GUADALUPE ST,WESLACO,TX,78596,HIDALGO,12517,Current,10/31/2026,ARMANDO GONZALEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19564991943,(956) 499-1943,landline_or_mobile,Texas,956,,valid,A.G. Plumbing,"1507 Guadalupe St, Weslaco, TX 78596",(956) 463-4116,,https://maps.google.com/?cid=7872942708760594232&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone mismatch: TSBPE (956) 499-1943 vs Google (956) 463-4116; Address matches TSBPE and Google,(956) 463-4116,"1507 GUADALUPE ST, WESLACO, TX 78596",no,yes,yes
DABILA PLUMBING,(806) 781-8167,"1220 S. 13TH ST., SLATON, TX 79364",1220 S. 13TH ST.,SLATON,TX,79364,LUBBOCK,13476,Current,09/30/2026,ARTHUR DABILA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18067818167,(806) 781-8167,landline_or_mobile,Texas,806,,valid,Dabila Plumbing Services,"1355 S 9th St, Slaton, TX 79364",(806) 828-6751,,https://maps.google.com/?cid=17810234626434276639&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone mismatch: TSBPE (806) 781-8167 vs Google (806) 828-6751; Address matches TSBPE and Google,(806) 828-6751,"1220 S. 13TH ST., SLATON, TX 79364",no,yes,yes
BOYD PLUMBING COMPANY INC,(254) 897-3692,"4084 N. FM 199, CLEBURNE, TX 76033",4084 N. FM 199,CLEBURNE,TX,76033,JOHNSON,37328,Current,02/28/2027,JEFFREY BOYD,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12548973692,(254) 897-3692,landline_or_mobile,"Glen Rose, TX",254,,valid,Boyd Plumbing Co.,"4084 FM199, Cleburne, TX 76033",(254) 897-3692,http://www.boydplumbingco.net/,https://maps.google.com/?cid=4621045563366997807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: http://www.boydplumbingco.net/,(254) 897-3692,"4084 N. FM 199, CLEBURNE, TX 76033",yes,yes,yes
DELLACO INC,(972) 723-3811,"3031 ROBINSON RD STE F, MIDLOTHIAN, TX 76065",3031 ROBINSON RD STE F,MIDLOTHIAN,TX,76065,ELLIS,37929,Current,08/31/2026,TREVOR PALMER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19727233811,(972) 723-3811,landline_or_mobile,"Midlothian, TX",972,,valid,Dellaco Inc.,"3031 Robinson Rd Ste F, Midlothian, TX 76065",(972) 723-3811,https://dellaco.com/,https://maps.google.com/?cid=5329380573916361953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: https://dellaco.com/,(972) 723-3811,"3031 ROBINSON RD STE F, MIDLOTHIAN, TX 76065",yes,yes,yes
FONSECA PLUMBING,(832) 687-1624,"3206 OYSTER COVE DR., MISSOURI CITY, TX 77459",3206 OYSTER COVE DR.,MISSOURI CITY,TX,77459,FORT BEND,38070,Current,02/28/2027,JOSE FONSECA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18326871624,(832) 687-1624,landline_or_mobile,Texas,832,,valid,,,,,https://www.google.com/maps/search/?api=1&query=FONSECA+PLUMBING+3206+OYSTER+COVE+DR.+TX,no_google_listing,low,Google Places: no matching listing found,(832) 687-1624,"3206 OYSTER COVE DR., MISSOURI CITY, TX 77459",,,
MOLINA PLUMBING,(361) 851-0262,"3842 APOLLO, CORPUS CHRISTI, TX 78413",3842 APOLLO,CORPUS CHRISTI,TX,78413,NUECES,6927,Current,11/30/2026,FABIAN MOLINA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13618510262,(361) 851-0262,landline_or_mobile,"Corpus Christi, TX",361,,valid,,,,,https://www.google.com/maps/search/?api=1&query=MOLINA+PLUMBING+3842+APOLLO+TX,no_google_listing,low,Google Places: no matching listing found,(361) 851-0262,"3842 APOLLO, CORPUS CHRISTI, TX 78413",,,
GOODWIN PLUMBING SERVICE INC,(254) 752-1501,"212  S. 22ND ST., WACO, TX 76701",212  S. 22ND ST.,WACO,TX,76701,MCLENNAN,14266,Current,04/30/2027,MICHAEL VORDERKUNZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12547521501,(254) 752-1501,landline_or_mobile,"Waco, TX",254,,valid,Goodwin Plumbing Service Inc.,"212 S 22nd St, Waco, TX 76701",(254) 752-1501,https://gpswaco.com/,https://maps.google.com/?cid=14245748068645379010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: https://gpswaco.com/,(254) 752-1501,"212  S. 22ND ST., WACO, TX 76701",yes,yes,yes
TOM LYNE PLUMBING & MECHANICAL INC & BENJAMIN FRANKLING PLUM,(979) 324-1200,"11184  DAN WILLIAMS LN, COLLEGE STATION, TX 77845",11184  DAN WILLIAMS LN,COLLEGE STATION,TX,77845,BRAZOS,37474,Current,09/30/2026,THOMAS LYNE,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19793241200,(979) 324-1200,landline_or_mobile,Texas,979,,valid,"Tom Lyne Plumbing & Mechanical, Inc","11184 Dan Williams Ln, College Station, TX 77845",(979) 704-6185,http://tomlyne.com/,https://maps.google.com/?cid=4338569141328457762&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone mismatch: TSBPE (979) 324-1200 vs Google (979) 704-6185; Address matches TSBPE and Google; Google website: http://tomlyne.com/,(979) 704-6185,"11184  DAN WILLIAMS LN, COLLEGE STATION, TX 77845",no,yes,yes
PAISLEY PLUMBING,(512) 618-1890,"670 WHISPER RIDGE, WIMBERLEY, TX 78676",670 WHISPER RIDGE,WIMBERLEY,TX,78676,HAYS,37469,Current,08/31/2026,DANIEL MATTINGLY,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+15126181890,(512) 618-1890,landline_or_mobile,Texas,512,,valid,PAISLEY Plumbing,"16927 Pacific Coast Hwy, Huntington Beach, CA 92649",(714) 999-9991,http://getmyplumber.com/,https://maps.google.com/?cid=18255593800589667406&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (512) 618-1890 vs Google (714) 999-9991; Address differs; prefer Google street address; Google website: http://getmyplumber.com/; Manual review recommended,(714) 999-9991,"16927 Pacific Coast Hwy, Huntington Beach, CA 92649",no,no,no
V&S CONSTRUCTION COMPANY LLC,(346) 256-0632,"9437 GATES LOOP, MANVEL, TX 77578",9437 GATES LOOP,MANVEL,TX,77578,BRAZORIA,10202,Current,08/31/2026,ALFRED GONZALES,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+13462560632,(346) 256-0632,landline_or_mobile,Texas,346,,valid,V&S CONSTRUCTION COMPANY,"333 N Sam Houston Pkwy E Ste 220, Houston, TX 77060",(346) 256-0632,https://vsconstructionllc.com/,https://maps.google.com/?cid=12945248515677291877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,partial_match,medium,Phone matches TSBPE and Google; Address differs; prefer Google street address; Google website: https://vsconstructionllc.com/,(346) 256-0632,"333 N Sam Houston Pkwy E Ste 220, Houston, TX 77060",yes,no,no
MIMS PLUMBING,(210) 822-2619,"30581 PANTHER DR., BULVERDE, TX 78163",30581 PANTHER DR.,BULVERDE,TX,78163,COMAL,16045,Current,02/28/2027,G. MIMS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12108222619,(210) 822-2619,landline_or_mobile,"San Antonio, TX",210,,valid,,,,,https://www.google.com/maps/search/?api=1&query=MIMS+PLUMBING+30581+PANTHER+DR.+TX,no_google_listing,low,Google Places: no matching listing found,(210) 822-2619,"30581 PANTHER DR., BULVERDE, TX 78163",,,
PLUMBER BOY OF TX,(254) 238-1174,"1610 S 31 STREET  STE 102-625, TEMPLE, TX 76504",1610 S 31 STREET  STE 102-625,TEMPLE,TX,76504,BELL,44049,Current,04/30/2027,BILLYJOE BAECHLER,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12542381174,(254) 238-1174,landline_or_mobile,Texas,254,,valid,Cowboy Plumbing Services,"1269 Summerwood Dr #401, New Braunfels, TX 78130",(830) 214-4133,https://www.cowboyplumbingtx.com/,https://maps.google.com/?cid=1044712612378044985&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (254) 238-1174 vs Google (830) 214-4133; Address differs; prefer Google street address; Google website: https://www.cowboyplumbingtx.com/; Manual review recommended,(830) 214-4133,"1269 Summerwood Dr #401, New Braunfels, TX 78130",no,no,no
A2Z ATOMIC PLUMBING INC,(214) 727-4040,"1175 SKYLAR DR., ROCKWALL, TX 75032",1175 SKYLAR DR.,ROCKWALL,TX,75032,ROCKWALL,36843,Current,09/30/2026,CASEY MITCHELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12147274040,(214) 727-4040,landline_or_mobile,Texas,214,,valid,A2Z Atomic Plumbing Inc.,"1175 Skylar Dr, Rockwall, TX 75032",(214) 727-4040,http://a2zatomicplumbinginc.com/,https://maps.google.com/?cid=324570121151912091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: http://a2zatomicplumbinginc.com/,(214) 727-4040,"1175 SKYLAR DR., ROCKWALL, TX 75032",yes,yes,yes
SITE MECHANICAL LLC,(817) 808-4174,"341 PALO ALTO DRIVE, SPRINGTOWN, TX 76082",341 PALO ALTO DRIVE,SPRINGTOWN,TX,76082,PARKER,23052,Current,02/28/2027,CHRISTOPHER ALBAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18178084174,(817) 808-4174,landline_or_mobile,Texas,817,,valid,,,,,https://www.google.com/maps/search/?api=1&query=SITE+MECHANICAL+LLC+341+PALO+ALTO+DRIVE+TX,no_google_listing,low,Google Places: no matching listing found,(817) 808-4174,"341 PALO ALTO DRIVE, SPRINGTOWN, TX 76082",,,
J & M PLUMBING INC,(713) 875-7956,"PO  BOX  1986, LEAGUE CITY, TX 77574",PO  BOX  1986,LEAGUE CITY,TX,77574,GALVESTON,22171,Current,09/30/2026,MICHAEL LUNA,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+17138757956,(713) 875-7956,landline_or_mobile,Texas,713,po_box_address,valid_with_flags,J & M Plumbers,"2112 E 4th St Ste.222D, Santa Ana, CA 92705",(714) 953-3136,https://www.jmplumbers.com/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,https://maps.google.com/?cid=4297701073699625794&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (713) 875-7956 vs Google (714) 953-3136; TSBPE PO box; prefer Google street address; Google website: https://www.jmplumbers.com/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary; Manual review recommended,(714) 953-3136,"2112 E 4th St Ste.222D, Santa Ana, CA 92705",no,no,no
GENE FORD PLUMBING INC,(903) 465-0888,"728 W. SHEPHERD, DENISON, TX 75020-5018",728 W. SHEPHERD,DENISON,TX,75020-5018,GRAYSON,18940,Current,02/28/2027,MARK FOLTERMANN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19034650888,(903) 465-0888,landline_or_mobile,"Denison, TX",903,,valid,Gene Ford Plumbing Inc,"728 W Shepherd St, Denison, TX 75020",(903) 465-0888,,https://maps.google.com/?cid=3126438691150690159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google,(903) 465-0888,"728 W. SHEPHERD, DENISON, TX 75020-5018",yes,yes,yes
AQUA FLOW PLUMBING,(903) 880-8090,"P O BOX 2073, MABANK, TX 75147",P O BOX 2073,MABANK,TX,75147,KAUFMAN,15226,Current,09/30/2026,WILLIAM MITCHELL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19038808090,(903) 880-8090,landline_or_mobile,Texas,903,po_box_address,valid_with_flags,,,,,https://www.google.com/maps/search/?api=1&query=AQUA+FLOW+PLUMBING+P+O+BOX+2073+TX,no_google_listing,low,Google Places: no matching listing found,(903) 880-8090,"P O BOX 2073, MABANK, TX 75147",,,
PRO STAR PLUMBING,(214) 364-8881,"512  N 5TH ST, QUINLAN, TX 75474",512  N 5TH ST,QUINLAN,TX,75474,HUNT,9083,Current,02/28/2027,CARL MILLIGAN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12143648881,(214) 364-8881,landline_or_mobile,"Dallas, TX",214,,valid,Pro Star Plumbing - Emergency and Residential Plumbing Repair Contractor and Drain Cleaning Service,"431 Berriman St, Brooklyn, NY 11208",(929) 229-2781,,https://maps.google.com/?cid=12181022506763470779&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (214) 364-8881 vs Google (929) 229-2781; Address differs; prefer Google street address; Manual review recommended,(929) 229-2781,"431 Berriman St, Brooklyn, NY 11208",no,no,no
THOMSON'S PLUMBING LLC,(903) 882-7549,"16803 INTERSTATE 20 WEST, LINDALE, TX 75771",16803 INTERSTATE 20 WEST,LINDALE,TX,75771,SMITH,11061,Current,10/31/2026,ROBERT THOMSON,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19038827549,(903) 882-7549,landline_or_mobile,"Lindale, TX",903,,valid,"Thomson's Plumbing, Co.","West 16803, I-20 Frontage Rd, Lindale, TX 75771",(903) 882-7549,http://www.thomsonsplumbingllc.com/,https://maps.google.com/?cid=14034267466592759262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,verified,high,Phone matches TSBPE and Google; Address matches TSBPE and Google; Google website: http://www.thomsonsplumbingllc.com/,(903) 882-7549,"16803 INTERSTATE 20 WEST, LINDALE, TX 75771",yes,yes,yes
GOOD FLOW PLUMBING & CONSTRUCTION,(432) 934-2497,"P O BOX 50976, MIDLAND, TX 79710-0976",P O BOX 50976,MIDLAND,TX,79710-0976,MIDLAND,37416,Current,02/28/2027,FELIX MARTINEZ,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+14329342497,(432) 934-2497,landline_or_mobile,Texas,432,po_box_address,valid_with_flags,,,,,https://www.google.com/maps/search/?api=1&query=GOOD+FLOW+PLUMBING+%26+CONSTRUCTION+P+O+BOX+50976+TX,no_google_listing,low,Google Places: no matching listing found,(432) 934-2497,"P O BOX 50976, MIDLAND, TX 79710-0976",,,
WILFORD FORSGREN PLUMBING,(940) 733-1387,"4600 MIMOSA LANE, WICHITA FALLS, TX 76310",4600 MIMOSA LANE,WICHITA FALLS,TX,76310,WICHITA,9625,Current,07/31/2026,WILFORD FORSGREN,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+19407331387,(940) 733-1387,landline_or_mobile,Texas,940,,valid,Orange Coast Plumbing,"8642 Bridle Cir, Yorba Linda, CA 92886",(714) 955-4844,https://orangecoastplumbing.net/,https://maps.google.com/?cid=9111805885634737071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,conflict,low,Phone mismatch: TSBPE (940) 733-1387 vs Google (714) 955-4844; Address differs; prefer Google street address; Google website: https://orangecoastplumbing.net/; Manual review recommended,(714) 955-4844,"8642 Bridle Cir, Yorba Linda, CA 92886",no,no,no
CT TEXAS PLUMBING LLC,(210) 849-8638,"401 MAPLE DR, SCHERTZ, TX 78154",401 MAPLE DR,SCHERTZ,TX,78154,GUADALUPE,39094,Current,03/31/2027,CHARLES TURNBULL,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+12108498638,(210) 849-8638,landline_or_mobile,"San Antonio, TX",210,,valid,,,,,https://www.google.com/maps/search/?api=1&query=CT+TEXAS+PLUMBING+LLC+401+MAPLE+DR+TX,no_google_listing,low,Google Places: no matching listing found,(210) 849-8638,"401 MAPLE DR, SCHERTZ, TX 78154",,,
RSW PLUMBING & CONSTRUCTION LLC,(806) 382-4123,"21974 FM 1062, CANYON, TX 79015",21974 FM 1062,CANYON,TX,79015,RANDALL,39577,Current,09/30/2026,RICHARD WILLIAMS,,False,not_found,TSBPE Responsible Master Plumber Registry,2026-06-10,True,+18063824123,(806) 382-4123,landline_or_mobile,Texas,806,,valid,,,,,https://www.google.com/maps/search/?api=1&query=RSW+PLUMBING+%26+CONSTRUCTION+LLC+21974+FM+1062+TX,no_google_listing,low,Google Places: no matching listing found,(806) 382-4123,"21974 FM 1062, CANYON, TX 79015",,,
