name,slug,industry,address,city,phone,website_listed,no_website_reason,source,status,verification_status,verification_notes,google_maps_url,google_website,google_phone,google_address,trade,region,web_search_website,web_search_confidence
AAA Preferred Plumbing Inc,aaa-preferred-plumbing-inc-culver-city,home_services,"4816 Hollow Corner Rd, Culver City, CA 90230",Culver City,(310) 274-4110,https://www.aaapreferredplumbing.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://www.aaapreferredplumbing.com/. Google Places lists website: https://www.aaapreferredplumbing.com/,https://maps.google.com/?cid=4607313696116500521&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.aaapreferredplumbing.com/,(310) 274-4110,"4816 Hollow Corner Rd, Culver City, CA 90230",plumber,socal,,google
ALTA Plumbing LLC,alta-plumbing-llc-fullerton,home_services,"2783 Pine Creek Cir, Fullerton, CA 92835",Fullerton,(310) 753-9135,http://altaplumbing.godaddysites.com/,social_or_directory_only,google_places,approved,approved,Google website is social/directory only: http://altaplumbing.godaddysites.com/,https://maps.google.com/?cid=1425665121321887981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://altaplumbing.godaddysites.com/,(310) 753-9135,"2783 Pine Creek Cir, Fullerton, CA 92835",plumber,socal,http://altaplumbing.godaddysites.com/,google
"Absolute Plumbing And Rooting, Inc.",absolute-plumbing-and-rooting-inc-ventura,home_services,"2261 Palma Dr #5, Ventura, CA 93003",Ventura,(805) 223-4502,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=5763336698582015813&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(805) 223-4502,"2261 Palma Dr #5, Ventura, CA 93003",plumber,socal,,google
Aliso Viejo Plumbing,aliso-viejo-plumbing-aliso-viejo,home_services,"31 Hawksmoor, Aliso Viejo, CA 92656",Aliso Viejo,(949) 304-5337,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=17789491359051624767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(949) 304-5337,"31 Hawksmoor, Aliso Viejo, CA 92656",plumber,socal,,google
All American Team Inc,all-american-team-inc-temecula,home_services,"43298 Calle Mataro, Temecula, CA 92592",Temecula,(888) 477-2877,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=7127001265408812695&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(888) 477-2877,"43298 Calle Mataro, Temecula, CA 92592",plumber,socal,,google
All Clear Covina Plumber,all-clear-covina-plumber-covina,home_services,"305 Orange Blossom Ln, Covina, CA 91723",Covina,(626) 727-8939,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=6128060279114133175&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(626) 727-8939,"305 Orange Blossom Ln, Covina, CA 91723",plumber,socal,,google
All Fullerton Plumber & Drain,all-fullerton-plumber-drain-fullerton,home_services,"255 W Orangethorpe Ave #120, Fullerton, CA 92832",Fullerton,(657) 566-7610,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=10023919902300569504&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(657) 566-7610,"255 W Orangethorpe Ave #120, Fullerton, CA 92832",plumber,socal,,google
All Plumbing & Drain,all-plumbing-drain-san-juan-capistrano,home_services,"31401 Camino Capistrano #3, San Juan Capistrano, CA 92675",San Juan Capistrano,(949) 761-3101,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=10293887054384597206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(949) 761-3101,"31401 Camino Capistrano #3, San Juan Capistrano, CA 92675",plumber,socal,,google
All Plumbing Fallbrook Services,all-plumbing-fallbrook-services-fallbrook,home_services,"202 W College St #125, Fallbrook, CA 92028",Fallbrook,(442) 444-4006,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=13495578039624178842&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(442) 444-4006,"202 W College St #125, Fallbrook, CA 92028",plumber,socal,,google
All Plumbing Whittier Services,all-plumbing-whittier-services-whittier,home_services,"12639 Whittier Blvd #210, Whittier, CA 90602",Whittier,(562) 670-2015,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=1391577520709070881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(562) 670-2015,"12639 Whittier Blvd #210, Whittier, CA 90602",plumber,socal,,google
All Purpose Plumbing,all-purpose-plumbing-redlands,home_services,"1236 N Dearborn St, Redlands, CA 92374",Redlands,(909) 740-4707,https://all-purpose-plumbing.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://all-purpose-plumbing.com/. Google Places lists website: https://all-purpose-plumbing.com/,https://maps.google.com/?cid=4168261990603567962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://all-purpose-plumbing.com/,(909) 740-4707,"1236 N Dearborn St, Redlands, CA 92374",plumber,socal,,google
All Seasons Plumbing,all-seasons-plumbing-no-palm-springs,home_services,"64239 Dillon Rd, NO PALM SPRINGS, CA 92258",NO PALM SPRINGS,(442) 407-0200,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=1841592138371766439&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(442) 407-0200,"64239 Dillon Rd, NO PALM SPRINGS, CA 92258",plumber,socal,,google
All Time Plumbing,all-time-plumbing-cathedral-city,home_services,"67761 Rio Vista Dr, Cathedral City, CA 92234",Cathedral City,(760) 905-2265,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=6616319060011346233&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(760) 905-2265,"67761 Rio Vista Dr, Cathedral City, CA 92234",plumber,socal,,google
Alpha Plumbers Fullerton,alpha-plumbers-fullerton-fullerton,home_services,"576 N Gilbert St, Fullerton, CA 92833",Fullerton,(714) 930-2150,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=13029198671346096330&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(714) 930-2150,"576 N Gilbert St, Fullerton, CA 92833",plumber,socal,,google
Always Plumbing & Drain Cleaning,always-plumbing-drain-cleaning-laguna-hills,home_services,"22982 La Cadena Dr Ste 12, Laguna Hills, CA 92653",Laguna Hills,(949) 581-8438,https://www.alwaysplumbingairheat.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://www.alwaysplumbingairheat.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb. Google Places lists website: https://www.alwaysplumbingairheat.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,https://maps.google.com/?cid=4386626656384628656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.alwaysplumbingairheat.com/?utm_campaign=gmb&utm_medium=organic&utm_source=gmb,(949) 581-8438,"22982 La Cadena Dr Ste 12, Laguna Hills, CA 92653",plumber,socal,,google
Always Ready Plumbing services 24 hours,always-ready-plumbing-services-24-hours-highland,home_services,"27035 10th St, Highland, CA 92346",Highland,(909) 716-8645,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=16159761751318170837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(909) 716-8645,"27035 10th St, Highland, CA 92346",plumber,socal,,google
Amazing Plumbing,amazing-plumbing-cypress,home_services,"5902 Lime Ave, Cypress, CA 90630",Cypress,(714) 879-0962,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=15052229940182657370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(714) 879-0962,"5902 Lime Ave, Cypress, CA 90630",plumber,socal,,google
Americas plumber Llc,americas-plumber-llc-escondido,home_services,"2533 Casata Glen, Escondido, CA 92025",Escondido,(760) 388-5872,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=12507603128262060531&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(760) 388-5872,"2533 Casata Glen, Escondido, CA 92025",plumber,socal,,google
Apex Norwalk Plumber,apex-norwalk-plumber-norwalk,home_services,"11683 Firestone Blvd, Norwalk, CA 90650",Norwalk,(562) 279-9416,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=832355787345627222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(562) 279-9416,"11683 Firestone Blvd, Norwalk, CA 90650",plumber,socal,,google
Aqua Dynamics Plumbing Company,aqua-dynamics-plumbing-company-lawndale,home_services,"4520 161st St, Lawndale, CA 90260",Lawndale,(424) 352-5247,https://www.aquadynamicsplumbingcompany.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://www.aquadynamicsplumbingcompany.com/. Google Places lists website: https://www.aquadynamicsplumbingcompany.com/,https://maps.google.com/?cid=1273802720760095289&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.aquadynamicsplumbingcompany.com/,(424) 352-5247,"4520 161st St, Lawndale, CA 90260",plumber,socal,,google
Aqua Garden Grove Plumbing Co,aqua-garden-grove-plumbing-co-garden-grove,home_services,"10197 Westminster Ave, Garden Grove, CA 92843",Garden Grove,,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=3543754263287221352&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,"10197 Westminster Ave, Garden Grove, CA 92843",plumber,socal,,google
Arc Plumbing,arc-plumbing-hawthorne,home_services,"3124 Rosecrans Ave B, Hawthorne, CA 90250",Hawthorne,(310) 350-2459,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=41520544359997416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(310) 350-2459,"3124 Rosecrans Ave B, Hawthorne, CA 90250",plumber,socal,,google
B.R. MOORE PLUMBING | Reliable Plumber with 32 Years Experience | Senior & Army Discount,b-r-moore-plumbing-reliable-plumber-with-32-years-experience,home_services,"1276 Vista Serena Ave, Banning, CA 92220",Banning,(951) 375-8144,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=13383888816466667626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(951) 375-8144,"1276 Vista Serena Ave, Banning, CA 92220",plumber,socal,,google
"Backflow Secured, LLC",backflow-secured-llc-hacienda-heights,home_services,"1627 Charlemont Ave, Hacienda Heights, CA 91745",Hacienda Heights,(817) 444-8600,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=16364713034024919009&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(817) 444-8600,"1627 Charlemont Ave, Hacienda Heights, CA 91745",plumber,socal,,google
Beach Plumbing And Drain,beach-plumbing-and-drain-redondo-beach,home_services,"2015 Manhattan Beach Blvd #168, Redondo Beach, CA 90278",Redondo Beach,(424) 392-7260,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=8881620247707815002&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(424) 392-7260,"2015 Manhattan Beach Blvd #168, Redondo Beach, CA 90278",plumber,socal,,google
Big Dalton Canyon Plumbing of Glendora,big-dalton-canyon-plumbing-of-glendora-glendora,home_services,"238 N Glendora Ave, Glendora, CA 91741",Glendora,(626) 501-3365,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=2433262126806297034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(626) 501-3365,"238 N Glendora Ave, Glendora, CA 91741",plumber,socal,,google
Black Cat Plumbing Co,black-cat-plumbing-co-los-angeles,home_services,"1218 S Barrington Ave, Los Angeles, CA 90025",Los Angeles,(310) 642-8027,https://lincolnpipeplumbing.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://lincolnpipeplumbing.com/. Google Places lists website: https://lincolnpipeplumbing.com/,https://maps.google.com/?cid=3404962241800567580&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://lincolnpipeplumbing.com/,(310) 642-8027,"1218 S Barrington Ave, Los Angeles, CA 90025",plumber,socal,,google
Blue Diamond Water Heater Repair,blue-diamond-water-heater-repair-camarillo,home_services,"2342 Lomita St UNIT L, Camarillo, CA 93010",Camarillo,(805) 467-7298,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=14453505687214222674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(805) 467-7298,"2342 Lomita St UNIT L, Camarillo, CA 93010",plumber,socal,,google
Booth's Pump Services,booth-s-pump-services-ramona,home_services,"1246 Pamo Rd, Ramona, CA 92065",Ramona,(760) 789-9147,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=15813937980378353191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(760) 789-9147,"1246 Pamo Rd, Ramona, CA 92065",plumber,socal,,google
Brightwater Services Inc,brightwater-services-inc-palm-desert,home_services,"75091 St Charles Pl Suite B, Palm Desert, CA 92211",Palm Desert,(760) 341-1488,https://brightwaterservicesinc.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://brightwaterservicesinc.com/. Google Places lists website: https://brightwaterservicesinc.com/,https://maps.google.com/?cid=17078207249166064992&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://brightwaterservicesinc.com/,(760) 341-1488,"75091 St Charles Pl Suite B, Palm Desert, CA 92211",plumber,socal,,google
Bt Plumbing Co,bt-plumbing-co-simi-valley,home_services,"1648 Dakin Ave, Simi Valley, CA 93065",Simi Valley,(805) 220-9666,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=13982540425112145791&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(805) 220-9666,"1648 Dakin Ave, Simi Valley, CA 93065",plumber,socal,,google
Bubbles Plumbing & Electrical,bubbles-plumbing-electrical-pasadena,home_services,"1887 E Washington Blvd, Pasadena, CA 91104",Pasadena,(626) 794-8110,http://www.bubbles-plumbing.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: http://www.bubbles-plumbing.com/. Google Places lists website: http://www.bubbles-plumbing.com/,https://maps.google.com/?cid=13495552368329894270&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.bubbles-plumbing.com/,(626) 794-8110,"1887 E Washington Blvd, Pasadena, CA 91104",plumber,socal,,google
Byers Plumbing,byers-plumbing-lake-elsinore,home_services,"29991 Canyon Hills Rd, Lake Elsinore, CA 92532",Lake Elsinore,,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=10015326924998474370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,"29991 Canyon Hills Rd, Lake Elsinore, CA 92532",plumber,socal,,google
CA ROOTER AND PLUMBING,ca-rooter-and-plumbing-west-covina,home_services,"1899 E Norma Ave, West Covina, CA 91791",West Covina,(626) 641-2453,https://www.facebook.com/Carooterandpluming,social_or_directory_only,google_places,approved,approved,Google website is social/directory only: https://www.facebook.com/Carooterandpluming,https://maps.google.com/?cid=3765352374997128624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.facebook.com/Carooterandpluming,(626) 641-2453,"1899 E Norma Ave, West Covina, CA 91791",plumber,socal,https://www.facebook.com/Carooterandpluming,google
CJ Plumbing And Hydro Jetting,cj-plumbing-and-hydro-jetting-hacienda-heights,home_services,"1225 Ridley Ave, Hacienda Heights, CA 91745",Hacienda Heights,(626) 404-6612,http://cjplumbingandhydrojetting.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: http://cjplumbingandhydrojetting.com/. Google Places lists website: http://cjplumbingandhydrojetting.com/,https://maps.google.com/?cid=2181465194317962492&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://cjplumbingandhydrojetting.com/,(626) 404-6612,"1225 Ridley Ave, Hacienda Heights, CA 91745",plumber,socal,,google
Cali Plumber San Marcos,cali-plumber-san-marcos-san-marcos,home_services,"188 Los Vallecitos Blvd, San Marcos, CA 92069",San Marcos,(760) 502-8200,http://caliplumbersanmarcos.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: http://caliplumbersanmarcos.com/. Google Places lists website: http://caliplumbersanmarcos.com/,https://maps.google.com/?cid=7954704839135397144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://caliplumbersanmarcos.com/,(760) 502-8200,"188 Los Vallecitos Blvd, San Marcos, CA 92069",plumber,socal,,google
CaliBar Plumbing,calibar-plumbing-costa-mesa,home_services,"1515 W MacArthur Blvd Suite 4, Costa Mesa, CA 92626",Costa Mesa,(949) 740-0740,https://calibarplumbing.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://calibarplumbing.com/. Google Places lists website: https://calibarplumbing.com/,https://maps.google.com/?cid=7412611912586117944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://calibarplumbing.com/,(949) 740-0740,"1515 W MacArthur Blvd Suite 4, Costa Mesa, CA 92626",plumber,socal,,google
Call Plumbing Oceanside,call-plumbing-oceanside-oceanside,home_services,"4318 Mission Ave Ste.103, Oceanside, CA 92057",Oceanside,(442) 262-1125,https://tkrplumbingco.com/,website_url_not_reachable,google_places,rejected,rejected_has_website,Live website found via google: https://tkrplumbingco.com/. Google Places lists website: https://tkrplumbingco.com/,https://maps.google.com/?cid=9033458178710398999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://tkrplumbingco.com/,(442) 262-1125,"4318 Mission Ave Ste.103, Oceanside, CA 92057",plumber,socal,,google
Capistrano Plumbing,capistrano-plumbing-san-juan-capistrano,home_services,"32111 Alipaz St, San Juan Capistrano, CA 92675",San Juan Capistrano,(949) 493-1521,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=13091348989163155033&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(949) 493-1521,"32111 Alipaz St, San Juan Capistrano, CA 92675",plumber,socal,,google
Carlos Plumbing,carlos-plumbing-inglewood,home_services,"942 E 65th St, Inglewood, CA 90302",Inglewood,(323) 630-3022,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=11350080424393865274&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(323) 630-3022,"942 E 65th St, Inglewood, CA 90302",plumber,socal,,google
Carlos the Plumber,carlos-the-plumber-dana-point,home_services,"33895 Silver Lantern St Apt 2, Dana Point, CA 92629",Dana Point,(949) 246-3589,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=12860668835651988218&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(949) 246-3589,"33895 Silver Lantern St Apt 2, Dana Point, CA 92629",plumber,socal,,google
Carlsbad Plumbing Pros,carlsbad-plumbing-pros-carlsbad,home_services,"6112 Innovation Way, Carlsbad, CA 92009",Carlsbad,(760) 517-7449,,no_website_listed,google_places,approved,approved,Google Places: no website listed,https://maps.google.com/?cid=12521677071164989830&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,(760) 517-7449,"6112 Innovation Way, Carlsbad, CA 92009",plumber,socal,,google
